;AGE;INCOME;GENDER;MARITAL;NUMKIDS;NUMCARDS;HOWPAID;MORTGAGE;STORECAR;LOANS;RISK
387;Old;Middle;f;divsepwid;Four;Six;weekly;n;Five;Three;bad profit
388;Young;Middle;m;married;Two;Two;weekly;y;Two;Two;bad profit
389;Young;Middle;m;single;Zero;Two;weekly;y;One;One;bad profit
390;Young;Middle;m;married;Two;Zero;weekly;y;Three;One;bad profit
391;Young;Middle;m;single;Zero;Three;monthly;y;Two;One;bad profit
392;Young;Middle;f;married;Two;Two;weekly;y;Two;Two;bad profit
393;Young;Middle;m;married;One;Zero;weekly;y;Three;Two;bad profit
394;Young;Middle;m;single;Zero;One;weekly;y;One;One;bad profit
395;Young;Middle;f;married;One;Zero;weekly;y;Three;One;bad profit
396;Old;Middle;f;divsepwid;Three;Six;weekly;n;Four;Three;bad loss
397;Young;Middle;m;single;One;Three;monthly;n;Three;One;bad profit
398;Middle;Middle;m;single;Zero;Two;weekly;n;One;One;bad profit
399;Young;Middle;m;single;Zero;Two;weekly;n;Three;One;bad profit
400;Young;Low;m;divsepwid;Four;Six;weekly;n;Four;Two;bad profit
401;Old;Low;f;divsepwid;Two;Five;weekly;n;Four;Three;bad loss
402;Old;Low;f;married;Two;Three;monthly;y;Five;Two;bad loss
403;Young;Low;f;single;Zero;Two;weekly;n;Three;One;bad loss
404;Middle;Low;m;married;One;Zero;monthly;y;Three;Two;bad profit
405;Middle;Low;f;married;Two;Two;monthly;y;Two;One;bad profit
406;Young;Low;m;single;One;One;monthly;y;One;One;bad profit
407;Middle;Low;f;married;One;Two;monthly;y;One;Two;bad profit
408;Young;Low;m;divsepwid;Four;Six;weekly;y;Five;Three;good risk
409;Young;Low;m;married;Two;Zero;weekly;y;One;Two;bad profit
410;Young;Low;m;single;Zero;Three;monthly;y;Three;One;bad profit
411;Young;Low;f;single;Zero;One;monthly;y;Two;One;bad profit
412;Young;Low;f;single;Zero;Three;weekly;n;Three;One;bad profit
413;Middle;Low;f;married;One;One;weekly;y;One;Two;bad profit
414;Old;Low;f;married;Three;Four;monthly;y;Four;One;bad loss
415;Middle;Low;m;married;One;Zero;weekly;y;One;Two;bad profit
416;Middle;Low;f;divsepwid;Three;Five;weekly;n;Four;Three;bad loss
417;Young;Low;f;single;One;Three;weekly;y;Three;One;bad profit
418;Middle;Low;m;married;One;Two;weekly;y;Three;One;bad profit
419;Young;Low;f;single;Zero;Two;weekly;y;Two;One;bad profit
420;Young;Low;f;divsepwid;Two;Six;weekly;n;Five;Two;good risk
421;Young;Low;f;married;Two;One;weekly;y;One;Two;bad profit
422;Old;Low;m;married;Two;Four;weekly;y;Four;One;bad profit
423;Old;Low;m;married;Two;Four;weekly;y;Five;Two;bad loss
424;Old;Low;f;divsepwid;Three;Six;weekly;y;Five;Two;bad loss
425;Young;Low;m;divsepwid;Three;Five;weekly;y;Four;Two;bad loss
426;Old;Low;f;divsepwid;Four;Six;weekly;y;Three;Three;good risk
427;Old;Low;f;divsepwid;Two;Five;weekly;y;Four;Two;bad profit
428;Young;Low;m;divsepwid;Three;Six;weekly;y;Three;Two;good risk
429;Young;Low;m;single;Zero;Three;monthly;n;One;One;bad profit
430;Young;Low;m;single;One;Two;weekly;y;Two;One;bad loss
431;Old;Low;m;divsepwid;Three;Five;weekly;n;Five;Three;bad profit
432;Young;Low;m;married;One;Zero;weekly;y;Two;Two;bad profit
433;Young;Low;f;married;One;Zero;weekly;y;Two;Two;bad profit
434;Young;Low;m;married;One;Zero;monthly;y;Two;One;bad profit
435;Middle;Low;f;married;Three;Three;weekly;y;Five;Two;bad loss
436;Young;Low;m;divsepwid;Three;Six;weekly;y;Three;Three;good risk
437;Middle;Low;m;married;One;Zero;weekly;y;Three;One;good risk
438;Middle;Low;m;divsepwid;Two;Five;weekly;n;Four;Two;bad loss
439;Young;Low;f;married;One;Two;monthly;y;Two;Two;bad profit
440;Young;Low;m;divsepwid;Four;Six;weekly;n;Four;Three;bad profit
441;Middle;Low;f;single;One;Three;monthly;y;Two;One;bad profit
442;Young;Low;m;married;Two;Zero;monthly;y;Three;One;bad profit
443;Old;Low;m;married;Three;Three;monthly;y;Four;Two;bad loss
444;Young;Low;m;single;One;One;monthly;y;Two;One;bad profit
445;Middle;Low;m;married;One;Zero;weekly;y;Three;Two;bad profit
446;Young;Low;f;single;Zero;Three;monthly;n;One;One;bad profit
447;Old;Low;m;divsepwid;Three;Six;weekly;n;Three;Two;good risk
448;Young;Low;m;single;Zero;One;monthly;n;Two;One;bad profit
449;Young;Low;m;single;One;One;weekly;y;Two;One;bad profit
450;Young;Low;f;married;Two;Two;monthly;y;One;Two;bad profit
451;Old;Low;m;married;Three;Four;monthly;y;Five;One;bad loss
452;Old;Low;m;married;Two;Four;weekly;y;Five;One;bad loss
453;Old;Low;f;divsepwid;Two;Five;weekly;y;Four;Two;bad loss
454;Young;Low;m;single;One;One;monthly;n;Two;One;bad profit
455;Old;Low;m;divsepwid;Two;Six;weekly;n;Four;Three;bad profit
456;Young;Low;m;married;One;Zero;monthly;y;Two;One;bad profit
457;Middle;Low;f;married;Three;Three;weekly;y;Four;Two;bad loss
458;Old;Low;m;divsepwid;Four;Six;weekly;n;Five;Two;good risk
459;Young;Low;m;single;One;One;weekly;n;Three;One;bad loss
460;Young;Low;f;married;One;Two;weekly;y;Three;Two;bad profit
461;Old;Low;f;divsepwid;Three;Five;weekly;n;Three;Three;bad loss
462;Young;Low;m;married;Two;Zero;monthly;y;Two;Two;bad profit
463;Young;Low;m;married;One;One;monthly;y;Three;Two;bad profit
464;Young;Low;m;divsepwid;Four;Five;weekly;n;Four;Three;bad profit
465;Old;Low;m;divsepwid;Three;Five;weekly;n;Five;Three;bad profit
466;Young;Low;f;married;One;Zero;weekly;y;Two;Two;bad profit
467;Young;Low;m;married;One;One;weekly;y;Three;One;bad profit
468;Young;Low;f;married;One;One;weekly;y;One;One;bad profit
469;Young;Low;m;married;One;Two;monthly;y;Two;Two;bad profit
470;Young;Low;f;married;Two;One;monthly;y;Two;One;bad profit
471;Middle;Low;f;single;Zero;Three;monthly;n;One;One;bad profit
472;Young;Low;m;single;Zero;Three;weekly;y;One;One;bad profit
473;Middle;Low;f;married;Two;Three;weekly;y;Four;One;bad loss
474;Middle;Low;f;married;Two;Zero;monthly;y;One;One;bad profit
475;Old;Low;m;divsepwid;Four;Six;weekly;y;Four;Three;bad loss
476;Old;Low;f;married;Two;Four;weekly;y;Five;One;bad loss
477;Young;Low;f;single;Zero;One;monthly;y;Three;One;bad profit
478;Old;Low;m;married;Three;Four;monthly;y;Four;Two;bad loss
479;Young;Low;m;married;One;One;weekly;y;Three;Two;bad profit
480;Young;Low;f;single;Zero;One;weekly;y;Three;One;bad profit
481;Young;Low;f;single;Zero;Three;weekly;n;One;One;bad profit
482;Young;Low;f;single;Zero;Two;monthly;y;Two;One;bad profit
483;Young;Low;f;single;Zero;Two;monthly;y;Two;One;bad profit
484;Young;Low;f;single;Zero;Two;monthly;n;One;One;bad profit
485;Middle;Low;m;married;One;One;weekly;y;One;One;bad profit
486;Young;Low;f;married;Two;Zero;weekly;y;Two;Two;bad profit
487;Young;Low;m;single;One;Three;weekly;y;One;One;bad profit
488;Young;Low;m;married;Two;One;monthly;y;Three;One;bad profit
489;Young;Low;m;married;One;Two;monthly;y;One;Two;bad profit
490;Old;Low;f;divsepwid;Three;Six;weekly;y;Five;Two;bad loss
491;Young;Low;f;married;Two;Two;monthly;y;One;One;bad profit
492;Young;Low;m;married;One;Two;weekly;y;One;Two;bad profit
493;Young;Low;f;married;Two;One;weekly;y;Two;One;bad profit
494;Young;Low;m;single;Zero;Three;monthly;y;One;One;bad profit
495;Young;Low;m;single;Zero;One;monthly;n;Two;One;bad profit
496;Young;Low;m;married;One;One;weekly;y;Three;One;bad profit
497;Young;Low;f;married;One;Zero;weekly;y;Two;Two;bad profit
498;Young;Low;m;married;Two;One;weekly;y;One;Two;bad profit
499;Young;Low;f;single;One;Three;weekly;n;Two;One;bad profit
